"","Videos","cnt"
"1","cook_deter",3
"2","cook_fear",5
"3","cook_frust",6
"4","cook_sad",6
"5","Ele_nerv",3
"6","eleph_exci",2
"7","eleph_fear",4
"8","elmo_ang",4
"9","elmo_fear",3
"10","elmo_frust",4
"11","elmo_jeal",4
"12","elmo_nerv",1
"13","elmo_sad",3
"14","grove_ang",1
"15","Grove_exci",2
"16","grove_nerv",5
"17","grove_sad",2
"18","Grover_frust",4
"19","turt_ang",3
"20","turt_deter",3
"21","turt_jeal",2
"22","zoe_ang",4
"23","zoe_deter",1
"24","zoe_exci",7
"25","zoe_jeal",5
"26","zoe_nerv",3
