"","Videos","cnt"
"1","Ameera_angry",3
"2","ameera_excited",6
"3","Ameera_frustrated",11
"4","ameera_jealous",7
"5","Ameera_sad",13
"6","cook_excited",2
"7","cookie_determined",45
"8","cookie_fearful",4
"9","cookie_frustrated",28
"10","Cookie_nervous",9
"11","cookie_sad",14
"12","elephant_excited",45
"13","elephant_fearful",13
"14","Elephant_frustrated",2
"15","elephant_nervous",6
"16","Elmo_angry",8
"17","elmo_fearful",7
"18","elmo_frustrated",9
"19","elmo_jealous",10
"20","elmo_nervous",5
"21","elmo_sad",7
"22","grover_angry",6
"23","Grover_determined",45
"24","grover_excited",6
"25","grover_frustrated",7
"26","grover_nervous",3
"27","grover_sad",2
"28","turtle_angry",2
"29","turtle_determined",19
"30","turtle_fearful",12
"31","Turtle_jealous",12
"32","Tutle_sad",2
"33","zoe_angry",14
"34","zoe_determined",7
"35","zoe_excited",44
"36","Zoe_fearful",1
"37","zoe_jealous",17
"38","zoe_nervous",7
